Logger description: 
Log period: 0.1 s
Statistics period: 0.01 s
Statistics window: 0.1 s
Maximum duration: 
Time,Time,Time,GearOilInTemp,GearOilOutTemp,RoomTemp,TOilLEWAct,TOilLEWDem,Dyno2,Dyno1Power,Dyno1Speed,Dyno1Torque,Dyno2Power,Dyno2Speed,Dyno2Torque,Efficiency,Efficiency10kNm,GearOilInTemp_Avg,GearOilOutTemp_Avg,RoomTemp_Avg,TOilLEWAct_Avg,TOilLEWDem_Avg,Dyno2_Avg,Dyno1Power_Avg,Dyno1Speed_Avg,Dyno1Torque_Avg,Dyno2Power_Avg,Dyno2Speed_Avg,Dyno2Torque_Avg,Efficiency_Avg,Efficiency10kNm_Avg
Date,Time,ms,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
4/22/2015,9:50:56,552.0,61.822541966427252,,,89.724270015061506,90,-3265.7153769799734,303700.88202732464,1449.9629569632675,2000.1406117539225,-299617.52631657425,882.46928143559626,-3242.1940130997509,0.98828653130870958,0.98749671160883434,61.910471622700015,,,89.724270015061506,90.000000000000057,-3202.5913063798898,302884.87092219241,1449.9570051201861,1994.774965369744,-299139.64606405195,882.47279020342864,-3237.0098213473284,0.98828653130871269,0.98749671160882979
4/22/2015,9:50:56,652.0,61.56674660271824,,,89.724270015061506,90,-3302.5716428832311,303540.05927441188,1450.6323370289936,1998.1589942578535,-298924.65284070949,882.61155243499513,-3234.1749423316078,0.98817661215710018,0.98593539441667777,61.694644284570586,,,89.724270015061506,90.000000000000057,-3217.7138226052657,303829.8390461324,1449.8362119955268,2001.1659037344241,-299897.60530761915,882.58068367943827,-3244.8147038125257,0.98817661215710262,0.98593539441667399
4/22/2015,9:50:56,752.2,61.406874500400079,,,89.724270015061506,90,-3272.4789467785085,302972.71133240033,1450.6841824505564,1994.3529493394283,-298348.52455392684,882.50448584951209,-3228.3332181290402,0.98794259167249399,0.98697678996006899,61.486810551557028,,,89.724270015061506,90.000000000000057,-3215.8231728992414,303638.29770192655,1449.9295401667062,1999.7767002801199,-299739.33190965187,882.46733651646605,-3243.5181957596683,0.98794259167249765,0.98697678996006477
4/22/2015,9:50:56,852.0,61.21502797761832,,,89.797514407933363,90,-3267.6085784863972,303731.63582067646,1451.0225832028948,1998.8823788342925,-299010.73233041831,882.65512968590156,-3234.9465484791458,0.9876641219201876,0.98759243448084288,61.310951239007181,,,89.797514407933363,90.000000000000057,-3250.0534446648585,304173.39422775561,1449.9897724817058,2003.217393721035,-300153.7722205068,882.59477327193997,-3247.5344158517578,0.98766412192019148,0.98759243448083911
4/22/2015,9:50:56,952.1,61.023181454836561,,,89.797514407933363,90,-3202.6586879372899,302804.1456866904,1449.1838630987795,1995.306922823647,-299470.85231417854,882.36303504433158,-3240.997043037949,0.98740813831200558,0.98836418986604968,61.119104716225365,,,89.797514407933363,90.000000000000057,-3238.894472979845,303861.24859857699,1449.6309824000305,2001.6556788769256,-300149.72363162396,882.5521906002831,-3247.6476195835712,0.98740813831200891,0.98836418986604446
4/22/2015,9:50:57,52.1,60.863309352518399,,,89.834136604369291,90,-3154.331781525485,303333.59462596622,1450.5956535665173,1996.8503644082628,-299322.6503016015,882.3717847312754,-3239.3610176038164,0.98759196274189165,0.98941168585392614,60.943245403675292,,,89.834136604369291,90.000000000000057,-3236.4155844563816,303081.11972280301,1450.2165031393856,1995.7105195711938,-299339.51005839929,882.51321985428945,-3239.024102118979,0.98759196274189487,0.98941168585392103
4/22/2015,9:50:57,152.1,60.67146282973664,,,89.87075880080522,90,-3192.3044308402427,304586.8029205635,1449.5524645930937,2006.5432526020038,-301394.97303070151,882.80327691239199,-3260.1940456307302,0.98740946552371067,0.98408259434755518,60.767386091125218,,,89.87075880080522,90.000000000000057,-3251.036206176032,304092.8843267996,1449.9771667662685,2002.7045858928243,-300217.76243794395,882.69227838876964,-3247.8674474185232,0.98740946552371478,0.98408259434754908
4/22/2015,9:50:57,252.1,60.559552358113933,,,89.834136604369291,90,-3170.287152670041,303955.61197272653,1449.1526501968538,2002.9375698720246,-300889.55149762909,882.52555221158707,-3255.7511332478548,0.98744762200607672,0.98390778576195337,60.615507593922985,,,89.834136604369291,90.000000000000057,-3269.5800869639206,304134.51109646854,1449.6765834624664,2003.3931407959924,-300409.61138986825,882.58606575230681,-3250.3351796185457,0.98744762200607961,0.9839077857619476
